fahrer_nr,name,nl_id,fuehrerschein,eintritt
1,Ben Schmidt,2,C,2018-05-18
2,Clara Weber,3,CE,2018-06-04
3,David Fischer,4,C,2018-06-21
4,Elena Meyer,5,B,2018-07-08
5,Felix Wagner,6,C,2018-07-25
6,Greta Becker,7,B,2018-08-11
7,Hans Hoffmann,8,CE,2018-08-28
8,Ines Schäfer,9,B,2018-09-14
9,Jonas Koch,10,B,2018-10-01
10,Anna Müller,1,CE,2018-10-18
11,Ben Schmidt,2,C,2018-11-04
12,Clara Weber,3,CE,2018-11-21
13,David Fischer,4,C,2018-12-08
14,Elena Meyer,5,CE,2018-12-25
15,Felix Wagner,6,B,2019-01-11
16,Greta Becker,7,CE,2019-01-28
17,Hans Hoffmann,8,B,2019-02-14
18,Ines Schäfer,9,C,2019-03-03
19,Jonas Koch,10,B,2019-03-20
20,Anna Müller,1,B,2019-04-06
21,Ben Schmidt,2,B,2019-04-23
22,Clara Weber,3,B,2019-05-10
23,David Fischer,4,CE,2019-05-27
24,Elena Meyer,5,C,2019-06-13
25,Felix Wagner,6,B,2019-06-30
26,Greta Becker,7,CE,2019-07-17
27,Hans Hoffmann,8,B,2019-08-03
28,Ines Schäfer,9,C,2019-08-20
29,Jonas Koch,10,B,2019-09-06
30,Anna Müller,1,CE,2019-09-23
31,Ben Schmidt,2,CE,2019-10-10
32,Clara Weber,3,CE,2019-10-27
33,David Fischer,4,CE,2019-11-13
34,Elena Meyer,5,C,2019-11-30
35,Felix Wagner,6,CE,2019-12-17
36,Greta Becker,7,CE,2020-01-03
37,Hans Hoffmann,8,CE,2020-01-20
38,Ines Schäfer,9,CE,2020-02-06
39,Jonas Koch,10,B,2020-02-23
40,Anna Müller,1,B,2020-03-11
41,Ben Schmidt,2,B,2020-03-28
42,Clara Weber,3,B,2020-04-14
43,David Fischer,4,CE,2020-05-01
44,Elena Meyer,5,B,2020-05-18
45,Felix Wagner,6,CE,2020-06-04
