ma_nr,team_nr,name,rolle_txt,stdsatz,eintritt
1,1,Ben Schmidt,Design,77,2018-02-15
2,2,Clara Weber,PL,89,2018-03-01
3,3,David Fischer,Design,101,2018-03-15
4,4,Elena Meyer,PL,113,2018-03-29
5,5,Felix Wagner,Berater,125,2018-04-12
6,6,Greta Becker,Design,137,2018-04-26
7,7,Hans Hoffmann,Berater,149,2018-05-10
8,8,Ines Schäfer,PL,161,2018-05-24
9,9,Jonas Koch,Berater,173,2018-06-07
10,10,Anna Müller,Design,185,2018-06-21
11,1,Ben Schmidt,PL,65,2018-07-05
12,2,Clara Weber,Dev,77,2018-07-19
13,3,David Fischer,Berater,89,2018-08-02
14,4,Elena Meyer,Design,101,2018-08-16
15,5,Felix Wagner,Design,113,2018-08-30
16,6,Greta Becker,PL,125,2018-09-13
17,7,Hans Hoffmann,Dev,137,2018-09-27
18,8,Ines Schäfer,Design,149,2018-10-11
19,9,Jonas Koch,Dev,161,2018-10-25
20,10,Anna Müller,Design,173,2018-11-08
21,1,Ben Schmidt,PL,185,2018-11-22
22,2,Clara Weber,Berater,65,2018-12-06
23,3,David Fischer,Design,77,2018-12-20
24,4,Elena Meyer,Berater,89,2019-01-03
25,5,Felix Wagner,Dev,101,2019-01-17
26,6,Greta Becker,Berater,113,2019-01-31
27,7,Hans Hoffmann,PL,125,2019-02-14
28,8,Ines Schäfer,Design,137,2019-02-28
29,9,Jonas Koch,Dev,149,2019-03-14
30,10,Anna Müller,Berater,161,2019-03-28
31,1,Ben Schmidt,Design,173,2019-04-11
32,2,Clara Weber,Design,185,2019-04-25
33,3,David Fischer,Berater,65,2019-05-09
34,4,Elena Meyer,Berater,77,2019-05-23
35,5,Felix Wagner,Berater,89,2019-06-06
36,6,Greta Becker,Design,101,2019-06-20
37,7,Hans Hoffmann,Berater,113,2019-07-04
38,8,Ines Schäfer,Berater,125,2019-07-18
39,9,Jonas Koch,Design,137,2019-08-01
40,10,Anna Müller,Berater,149,2019-08-15
41,1,Ben Schmidt,PL,161,2019-08-29
42,2,Clara Weber,Dev,173,2019-09-12
43,3,David Fischer,Berater,185,2019-09-26
44,4,Elena Meyer,Dev,65,2019-10-10
45,5,Felix Wagner,Dev,77,2019-10-24
46,6,Greta Becker,Dev,89,2019-11-07
47,7,Hans Hoffmann,PL,101,2019-11-21
48,8,Ines Schäfer,PL,113,2019-12-05
49,9,Jonas Koch,PL,125,2019-12-19
50,10,Anna Müller,Dev,137,2020-01-02
51,1,Ben Schmidt,PL,149,2020-01-16
52,2,Clara Weber,PL,161,2020-01-30
53,3,David Fischer,Dev,173,2020-02-13
54,4,Elena Meyer,Berater,185,2020-02-27
55,5,Felix Wagner,Dev,65,2020-03-12
56,6,Greta Becker,Dev,77,2020-03-26
57,7,Hans Hoffmann,PL,89,2020-04-09
58,8,Ines Schäfer,Design,101,2020-04-23
59,9,Jonas Koch,Dev,113,2020-05-07
60,10,Anna Müller,Dev,125,2020-05-21
61,1,Ben Schmidt,PL,137,2020-06-04
62,2,Clara Weber,Dev,149,2020-06-18
63,3,David Fischer,Dev,161,2020-07-02
64,4,Elena Meyer,Dev,173,2020-07-16
65,5,Felix Wagner,Berater,185,2020-07-30
66,6,Greta Becker,Dev,65,2020-08-13
67,7,Hans Hoffmann,Dev,77,2020-08-27
68,8,Ines Schäfer,Berater,89,2020-09-10
69,9,Jonas Koch,Dev,101,2020-09-24
70,10,Anna Müller,PL,113,2020-10-08
71,1,Ben Schmidt,Berater,125,2020-10-22
72,2,Clara Weber,Design,137,2020-11-05
73,3,David Fischer,Design,149,2020-11-19
74,4,Elena Meyer,Berater,161,2020-12-03
75,5,Felix Wagner,Berater,173,2020-12-17
76,6,Greta Becker,Berater,185,2020-12-31
77,7,Hans Hoffmann,PL,65,2021-01-14
78,8,Ines Schäfer,Design,77,2021-01-28
79,9,Jonas Koch,PL,89,2021-02-11
80,10,Anna Müller,PL,101,2021-02-25
