usr_id,firma_nr,mail,rolle_txt,aktiv_kz,anlagedat
1,1,u1@cloud.local,usr,true,2022-08-01
2,2,u2@cloud.local,usr,true,2022-08-02
3,3,u3@cloud.local,bill,true,2022-08-02
4,4,u4@cloud.local,usr,true,2022-08-03
5,5,u5@cloud.local,adm,true,2022-08-03
6,6,u6@cloud.local,adm,true,2022-08-04
7,7,u7@cloud.local,usr,true,2022-08-04
8,8,u8@cloud.local,adm,true,2022-08-05
9,9,u9@cloud.local,adm,true,2022-08-05
10,10,u10@cloud.local,usr,true,2022-08-06
11,11,u11@cloud.local,adm,false,2022-08-06
12,12,u12@cloud.local,bill,true,2022-08-07
13,13,u13@cloud.local,usr,true,2022-08-07
14,14,u14@cloud.local,bill,true,2022-08-08
15,15,u15@cloud.local,adm,true,2022-08-08
16,16,u16@cloud.local,adm,true,2022-08-09
17,17,u17@cloud.local,usr,true,2022-08-09
18,18,u18@cloud.local,bill,true,2022-08-10
19,19,u19@cloud.local,adm,true,2022-08-10
20,20,u20@cloud.local,bill,true,2022-08-11
21,21,u21@cloud.local,bill,true,2022-08-11
22,22,u22@cloud.local,adm,false,2022-08-12
23,23,u23@cloud.local,bill,true,2022-08-12
24,24,u24@cloud.local,adm,true,2022-08-13
25,25,u25@cloud.local,bill,true,2022-08-13
26,26,u26@cloud.local,bill,true,2022-08-14
27,27,u27@cloud.local,bill,true,2022-08-14
28,28,u28@cloud.local,bill,true,2022-08-15
29,29,u29@cloud.local,bill,true,2022-08-15
30,30,u30@cloud.local,adm,true,2022-08-16
31,31,u31@cloud.local,bill,true,2022-08-16
32,32,u32@cloud.local,adm,true,2022-08-17
33,33,u33@cloud.local,adm,false,2022-08-17
34,34,u34@cloud.local,usr,true,2022-08-18
35,35,u35@cloud.local,adm,true,2022-08-18
36,36,u36@cloud.local,bill,true,2022-08-19
37,37,u37@cloud.local,bill,true,2022-08-19
38,38,u38@cloud.local,adm,true,2022-08-20
39,39,u39@cloud.local,bill,true,2022-08-20
40,40,u40@cloud.local,usr,true,2022-08-21
41,41,u41@cloud.local,bill,true,2022-08-21
42,42,u42@cloud.local,usr,true,2022-08-22
43,43,u43@cloud.local,bill,true,2022-08-22
44,44,u44@cloud.local,adm,false,2022-08-23
45,45,u45@cloud.local,bill,true,2022-08-23
46,46,u46@cloud.local,usr,true,2022-08-24
47,47,u47@cloud.local,bill,true,2022-08-24
48,48,u48@cloud.local,usr,true,2022-08-25
49,49,u49@cloud.local,usr,true,2022-08-25
50,50,u50@cloud.local,usr,true,2022-08-26
51,51,u51@cloud.local,bill,true,2022-08-26
52,52,u52@cloud.local,bill,true,2022-08-27
53,53,u53@cloud.local,usr,true,2022-08-27
54,54,u54@cloud.local,bill,true,2022-08-28
55,55,u55@cloud.local,bill,false,2022-08-28
56,56,u56@cloud.local,usr,true,2022-08-29
57,57,u57@cloud.local,adm,true,2022-08-29
58,58,u58@cloud.local,bill,true,2022-08-30
59,59,u59@cloud.local,usr,true,2022-08-30
60,60,u60@cloud.local,adm,true,2022-08-31
61,61,u61@cloud.local,adm,true,2022-08-31
62,62,u62@cloud.local,bill,true,2022-09-01
63,63,u63@cloud.local,usr,true,2022-09-01
64,64,u64@cloud.local,bill,true,2022-09-02
65,65,u65@cloud.local,bill,true,2022-09-02
66,66,u66@cloud.local,bill,false,2022-09-03
67,67,u67@cloud.local,usr,true,2022-09-03
68,68,u68@cloud.local,usr,true,2022-09-04
69,69,u69@cloud.local,bill,true,2022-09-04
70,70,u70@cloud.local,adm,true,2022-09-05
71,71,u71@cloud.local,adm,true,2022-09-05
72,72,u72@cloud.local,bill,true,2022-09-06
73,73,u73@cloud.local,usr,true,2022-09-06
74,74,u74@cloud.local,adm,true,2022-09-07
75,75,u75@cloud.local,usr,true,2022-09-07
76,76,u76@cloud.local,adm,true,2022-09-08
77,77,u77@cloud.local,bill,false,2022-09-08
78,78,u78@cloud.local,adm,true,2022-09-09
79,79,u79@cloud.local,usr,true,2022-09-09
80,80,u80@cloud.local,adm,true,2022-09-10
81,81,u81@cloud.local,bill,true,2022-09-10
82,82,u82@cloud.local,adm,true,2022-09-11
83,83,u83@cloud.local,bill,true,2022-09-11
84,84,u84@cloud.local,bill,true,2022-09-12
85,85,u85@cloud.local,bill,true,2022-09-12
86,86,u86@cloud.local,bill,true,2022-09-13
87,87,u87@cloud.local,usr,true,2022-09-13
88,88,u88@cloud.local,bill,false,2022-09-14
89,89,u89@cloud.local,bill,true,2022-09-14
90,90,u90@cloud.local,adm,true,2022-09-15
91,91,u91@cloud.local,adm,true,2022-09-15
92,92,u92@cloud.local,adm,true,2022-09-16
93,93,u93@cloud.local,adm,true,2022-09-16
94,94,u94@cloud.local,adm,true,2022-09-17
95,95,u95@cloud.local,adm,true,2022-09-17
96,96,u96@cloud.local,adm,true,2022-09-18
97,97,u97@cloud.local,bill,true,2022-09-18
98,98,u98@cloud.local,usr,true,2022-09-19
99,99,u99@cloud.local,bill,false,2022-09-19
100,100,u100@cloud.local,bill,true,2022-09-20
101,101,u101@cloud.local,adm,true,2022-09-20
102,102,u102@cloud.local,usr,true,2022-09-21
103,103,u103@cloud.local,adm,true,2022-09-21
104,104,u104@cloud.local,adm,true,2022-09-22
105,105,u105@cloud.local,bill,true,2022-09-22
106,106,u106@cloud.local,usr,true,2022-09-23
107,107,u107@cloud.local,bill,true,2022-09-23
108,108,u108@cloud.local,bill,true,2022-09-24
109,109,u109@cloud.local,bill,true,2022-09-24
110,110,u110@cloud.local,bill,false,2022-09-25
111,111,u111@cloud.local,adm,true,2022-09-25
112,112,u112@cloud.local,adm,true,2022-09-26
113,113,u113@cloud.local,adm,true,2022-09-26
114,114,u114@cloud.local,bill,true,2022-09-27
115,115,u115@cloud.local,usr,true,2022-09-27
